scientific_name	taxonid
Diclidurus albus	6561
Hipposideros rotalis	136477
Eonycteris spelaea	7787
Myotis soror	85342662
Myotis vivesi	14209
Rhinolophus maclaudi	19549
Pteropus livingstonii	18732
Myotis californicus	14150
Lophostoma brasiliense	21984
Melonycteris melanops	13139
Pteropus loochoensis	18773
Myotis dasycneme	14127
Pteronotus mesoamericanus	88018392
Myotis welwitschii	14211
Pteropus personatus	18747
Myotis bocagii	14148
Leptonycteris curasoae	11699
Notopteris neocaledonica	136519
Pteropus admiralitatum	18713
Hylonycteris underwoodi	10598
Plecotus kolombatovici	136473
Pteropus vetulus	18767
Saccolaimus flaviventris	19799
Chaerephon jobimena	136393
Hipposideros pomona	10154
Pteropus poliocephalus	18751
Myotis bucharensis	136219
Hipposideros thomensis	44689
Tadarida brasiliensis	21314
Megaderma spasma	12939
Dermanura rosenbergi	136505
Gardnerycteris crenulatum	13560
Rhinolophus montanus	136248
Centronycteris maximiliani	4112
Artibeus fraterculus	2127
Pteropus subniger	18761
Rhinolophus rouxii	84379218
Cynopterus nusatenggara	6105
Natalus major	136548
Rhogeessa io	88151760
Hipposideros macrobullatus	10146
Platyrrhinus chocoensis	17568
Hipposideros ridleyi	10108
Hipposideros ruber	10157
Platyrrhinus incarum	88160214
Hypsugo joffrei	17345
Rousettus aegyptiacus	29730
Plecotus balensis	44930
Natalus stramineus	14360
Artibeus jamaicensis	88109731
Molossops temminckii	13643
Pipistrellus angulatus	17326
Eptesicus hottentotus	7931
Neoromicia somalica	44925
Mops spurrelli	13848
Peropteryx macrotis	16709
Myotis nattereri	14135
Murina fusca	13940
Laephotis namibensis	11137
Rhinolophus smithersi	64588371
Otomops johnstonei	15647
Pteronotus parnellii	88017638
Nyctalus azoreum	14922
Myotis annatessae	85342605
Miniopterus majori	40039
Epomops franqueti	7909
Rhinolophus rex	19562
Eidolon helvum	7084
Nyctimene robinsoni	14966
Rhogeessa genowaysi	19680
Leptonycteris yerbabuenae	136659
Ia io	10755
Pipistrellus inexspectatus	17343
Pteronotus macleayii	18707
Rhinolophus eloquens	19539
Mirimiri acrodonta	18655
Diaemus youngi	6520
Hipposideros breviceps	10114
Triaenops rufus	40026
Scotophilus trujilloi	84466859
Sturnira angeli	88154322
Miniopterus griveaudi	136752
Stenoderma rufum	20743
Taphozous australis	21452
Rhinolophus paradoxolophus	19558
Phyllonycteris aphylla	17173
Hypsugo bemainty	85200870
Myotis federatus	85568302
Megaerops kusnotoi	12945
Murina cyclotis	13938
Rhinolophus hillorum	44782
Paremballonura tiavato	136835
Myopterus whitleyi	14103
Lichonycteris obscura	88120245
Hypsugo eisentrauti	44854
Taphozous troughtoni	21466
Rhinolophus macrotis	19550
Plecotus austriacus	17597
Pteralopex atrata	18657
Rousettus leschenaultii	19756
Triaenops afer	81081036
Hipposideros coronatus	10121
Pteropus scapulatus	18758
Emballonura semicaudata	7669
Rhinolophus hilli	44781
Chaerephon bregullae	4309
Myotis yanbarensis	29484
Carollia monohernandezi	88110257
Pteronotus gymnonotus	18706
Cheiromeles torquatus	4601
Macroglossus minimus	12594
Dobsonia viridis	6780
Styloctenium mindorensis	136534
Neonycteris pusilla	13382
Anoura latidens	1568
Pipistrellus kuhlii	17314
Micronycteris minuta	13380
Diclidurus scutatus	6564
Molossus sinaloae	13650
Pteropus molossinus	18741
Pipistrellus ariel	44852
Chiroderma doriae	4664
Syconycteris australis	21185
Platyrrhinus brachycephalus	17567
Pipistrellus papuanus	17355
Chaerephon bivittatus	4308
Rhinolophus philippinensis	19560
Rhinolophus mossambicus	64589126
Myotis yumanensis	14213
Mops sarasinorum	13847
Casinycteris campomaanensis	84455300
Anoura fistulata	136239
Myotis oreias	14186
Hipposideros crumeniferus	10124
Sturnira koopmanhilli	88159599
Pteronotus rubiginosus	88018592
Pteropus gilliardorum	18726
Nyctimene keasti	136441
Natalus jamaicensis	136824
Plecotus auritus	17596
Laephotis wintoni	11138
Euderma maculatum	8166
Tadarida lobata	21317
Mops thersites	13849
Nyctophilus heran	15005
Hipposideros diadema	10128
Pteropus pselaphon	18752
Myotis ruber	14197
Micronycteris brosseti	40028
Myotis occultus	136650
Dermanura cinerea	2124
Miniopterus brachytragos	81629758
Taphozous hamiltoni	21455
Eumops hansae	8245
Myotis insularum	14169
Laephotis angolensis	11135
Lonchophylla orienticollina	88150966
Pharotis imogene	16887
Lasiurus salinae	88151061
Nyctinomops laticaudatus	14995
Lonchophylla orcesi	136735
Phyllops falcatus	17176
Myotis indochinensis	85342688
Mops niveiventer	13845
Mormopterus kalinowskii	13883
Plecotus homochrous	85537505
Lichonycteris degener	88120307
Myopterus daubentonii	14102
Scotophilus robustus	20072
Falsistrellus mackenziei	17348
Asellia arabica	80222726
Scotophilus livingstonii	84466826
Nycteris javanica	14932
Dermanura bogotensis	83683094
Macroderma gigas	12590
Lonchophylla mordax	12267
Murina huttoni	13942
Sturnira mistratensis	136591
Pteropus pumilus	18753
Nyctophilus geoffroyi	15003
Pipistrellus pulveratus	17360
Chaerephon tomensis	4321
Sturnira bogotensis	20951
Myotis levis	14174
Eptesicus floweri	7926
Dobsonia emersa	6774
Balantiopteryx io	2532
Miniopterus maghrebensis	81633156
Plecotus ariel	85534953
Scotoecus albofuscus	20054
Pteropus voeltzkowi	18768
Myotis csorbai	29420
Rhinopoma hardwickii	82345477
Sturnira nana	20958
Sauromys petrophilus	44693
Pipistrellus endoi	17340
Nyctophilus sherrini	15009
Pteropus rayneri	18754
Kerivoula argentata	10969
Myotis simus	14204
Taphozous mauritianus	21460
Artibeus hirsutus	2131
Hipposideros camerunensis	10117
Murina jaintiana	84547975
Ametrida centurio	1137
Myotis nigricans	14185
Rhinolophus subrufus	19571
Miniopterus manavi	81629742
Pipistrellus hesperidus	136741
Pteropus melanotus	18740
Kerivoula smithii	10986
Cistugo seabrae	44788
Paranyctimene tenax	136836
Eumops patagonicus	136825
Coleura afra	5113
Myotis sodalis	14136
Lonchophylla chocoana	136348
Trinycteris nicefori	13381
Myotis laniger	136429
Pteropus melanopogon	18739
Hipposideros muscinus	10151
Phylloderma stenops	17168
Nyctophilus microtis	15008
Arielulus circumdatus	41534
Sturnira parvidens	88154376
Pteropus speciosus	18760
Diclidurus isabella	6563
Pteropus rodricensis	18755
Myotis annamiticus	136279
Noctilio albiventris	14829
Dobsonia moluccensis	84882605
Chaerephon plicatus	4316
Pteropus pohlei	18750
Pteropus vampyrus	18766
Mystacina tuberculata	14261
Lonchorhina orinocensis	12273
Scotophilus collinus	136612
Falsistrellus mordax	17351
Pygoderma bilabiatum	18945
Rousettus spinalatus	19751
Rhinolophus creaghi	19535
Rhinolophus sinicus	41529
Myotis myotis	14133
Rhinolophus simulator	19568
Peropteryx leucoptera	16708
Scotophilus ejetai	84466810
Eptesicus isabellinus	85200107
Hipposideros abae	10109
Nyctalus furvus	136765
Phoniscus atrox	10970
Carollia subrufa	3906
Pteralopex anceps	18656
Mimetillus moloneyi	13556
Lasiurus cinereus	11345
Vampyressa pusilla	22841
Kerivoula krauensis	136572
Rhinolophus subbadius	19570
Lionycteris spurrelli	12078
Saccopteryx antioquensis	136420
Myotis montivagus	14181
Hipposideros papua	10107
Haplonycteris fischeri	9690
Platyrrhinus aquilus	88160364
Mormopterus ridei	71533043
Pteropus griseus	18727
Nyctophilus microdon	15007
Ptenochirus minor	18654
Miniopterus aelleni	81629770
Hipposideros maggietaylorae	10148
Pipistrellus pygmaeus	136649
Megaderma lyra	12938
Myotis pilosus	14193
Myotis daubentonii	14128
Phoniscus aerosa	10967
Sturnira hondurensis	88154577
Kerivoula lenis	136428
Myotis volans	14210
Pteropus faunulus	18723
Rhinolophus borneensis	19527
Nycticeius cubanus	136386
Nycteris nana	14935
Hipposideros obscurus	10153
Rhinolophus affinis	19522
Scotophilus marovaza	136774
Hipposideros lamottei	10141
Kerivoula hardwickii	10974
