scientific_name	taxonid	kingdom	phylum	class	order	family	genus	main_common_name	authority	published_year	category	criteria	marine_system	freshwater_system	terrestrial_system	aoo_km2	eoo_km2	elevation_upper	elevation_lower	depth_upper	depth_lower	assessor	reviewer	errata_flag	errata_reason	amended_flag	amended_reason
Chaerephon solomonis	4320	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	MOLOSSIDAE	Chaerephon	Solomons Free-tailed Bat	(Troughton, 1931)	2014	LC		False	False	True							Hamilton, S.	Lamoreux, J., Racey, P.A., Medellín, R. & Hutson, A.M.				
Chaerephon tomensis	4321	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	MOLOSSIDAE	Chaerephon	São Tomé Free-tailed Bat	(Juste &amp; Ibáñez, 1993)	2008	EN	B1ab(iii)	False	False	True							Mickleburgh, S., Hutson, A.M., Bergmans, W. & Juste, J.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Chalinolobus dwyeri	4414	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Chalinolobus	Large-eared Pied Bat	Ryan, 1966	2008	NT		False	False	True							Pennay, M. & Thomson, B.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Chalinolobus gouldii	4417	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Chalinolobus	Gould's Wattled Bat	(Gray, 1841)	2008	LC		False	False	True							Lumsden, L. & McKenzie, N.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Chalinolobus morio	4419	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Chalinolobus	Chocolate Wattled Bat	(Gray, 1841)	2008	LC		False	False	True							Lumsden, L., McKenzie, N. & Reardon, T.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Chalinolobus neocaledonicus	4420	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Chalinolobus	New Caledonia Wattled Bat	Revilliod, 1914	2008	EN	B2ab(iii)	False	False	True							Brescia, F.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Chalinolobus nigrogriseus	4421	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Chalinolobus	Hoary Wattled Bat	(Gould, 1856)	2008	LC		False	False	True			300	0			Hutson, T., Schlitter, D., Csorba, G., Thomson, B. & McKenzie, N.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Chalinolobus picatus	4422	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Chalinolobus	Little Pied Bat	(Gould, 1852)	2008	NT		False	False	True			400	40			Ellis, M. & Pennay, M.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Chalinolobus tuberculatus	4425	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Chalinolobus	New Zealand Long-tailed Bat	(Forster, 1844)	2008	VU	A2ace	False	False	True							O'Donnell, C.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Cheiromeles parvidens	4600	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	MOLOSSIDAE	Cheiromeles	Lesser Naked Bat	Miller &amp; Hollister, 1921	2008	LC		False	False	True			200	0			Csorba, G., Bumrungsri, S., Francis, C., Bates, P., Gumal, M. & Kingston, T.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
