scientific_name	taxonid	kingdom	phylum	class	order	family	genus	main_common_name	authority	published_year	category	criteria	marine_system	freshwater_system	terrestrial_system	aoo_km2	eoo_km2	elevation_upper	elevation_lower	depth_upper	depth_lower	assessor	reviewer	errata_flag	errata_reason	amended_flag	amended_reason
Nanonycteris veldkampii	14333	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Nanonycteris	Veldkamp's Bat	(Jentink, 1888)	2017	LC		False	False	True		2098472	1200	0			Monadjem, A., Fahr, J., Hutson, A.M., Mickleburgh, S. & Bergmans, W.	Piraccini, R.				
Natalus espiritosantensis	136448	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NATALIDAE	Natalus		Ruschi, 1951	2016	NT		False	False	True		3595672	1000	0			Tejedor, A. & Davalos, L.	Solari, S.				
Natalus jamaicensis	136824	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NATALIDAE	Natalus	Jamaican Greater Funnel-eared Bat	Goodwin, 1959	2016	CR	B2ab(ii,iii)	False	False	True	8	13506	97	97			Solari, S.	Battistoni, A.				
Natalus lanatus	136194	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NATALIDAE	Natalus		Tejedor, 2005	2015	LC		False	False	True							Arroyo-Cabrales, J. & Álvarez-Castañeda, S.T.	Solari, S.				
Natalus major	136548	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NATALIDAE	Natalus	Hispaniolan Greater Funnel-eared Bat	Miller, 1902	2016	NT		False	False	True		205826	1000	0			Miller, B. & Reid, F.	Solari, S.				
Natalus mexicanus	136363	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NATALIDAE	Natalus	Mexican Greater Funnel-eared Bat	Miller, 1902	2008	LC		False	False	True			2400				Velazco, P. & Pineda, W.	Medellín, R. (Chiroptera Red List Authority) & Schipper, J. (Global Mammal Assessment Team)				
Natalus primus	136777	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NATALIDAE	Natalus	Cuban Greater Funnel-eared Bat	Anthony, 1919	2016	VU	D2	False	False	True		13324					Mancina, C.	Solari, S.				
Natalus stramineus	14360	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NATALIDAE	Natalus	Mexican Funnel-eared Bat	Gray, 1838	2016	LC		False	False	True			473	0			Davalos, L. & Tejedor, A.	Solari, S.				
Natalus tumidirostris	14362	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NATALIDAE	Natalus	Trinidadian Funnel-eared Bat	Miller, 1900	2016	LC		False	False	True			1000	0			Davalos, L., Velazco, P. & Aguirre, L.	Solari, S.				
Neonycteris pusilla	13382	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Neonycteris	Least Big-eared Bat	Sanborn, 1949	2016	DD		False	False	True		9048					Aguiar, L. & Bernard, E.	Solari, S.				
Neopteryx frosti	14560	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Neopteryx	Small-toothed Fruit Bat	Hayman, 1946	2016	EN	C1	False	False	True		41384					Tsang, S.M.	Mildenstein, T.	True	This errata assessment has been created because the map was accidentally left out of the version published previously.		
Neoromicia brunnea	44917	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Neoromicia	Dark-brown Serotine	(Thomas, 1880)	2008	NT		False	False	True							Fahr. J.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Neoromicia capensis	44918	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Neoromicia	Cape Bat	(A. Smith, 1829)	2017	LC		False	False	True		23343148		0			Monadjem, A., Taylor, P.J., Jacobs, D. & Cotterill, F.	Piraccini, R.				
Neoromicia flavescens	44919	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Neoromicia	Yellow Pipistrelle Bat	(Seabra, 1900)	2014	DD		False	False	True							Jacobs, D., Cotterill, F.P.D. & Taylor, P.J.	Hutson, A.M., Racey, P.A. & Cox, N.A.				
Neoromicia guineensis	44920	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Neoromicia	Guinean Pipistrelle Bat	(Bocage, 1889)	2017	LC		False	False	True		8946175					Monadjem, A. & Fahr, J.	Piraccini, R.				
Neoromicia helios	44921	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Neoromicia	Samburu Pipistrelle Bat	(Heller, 1912)	2014	DD		False	False	True							Jacobs, D., Cotterill, F.P.D. & Taylor, P.J.	Hutson, A.M., Racey, P.A. & Cox, N.A.				
Neoromicia isabella	95558146	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Neoromicia	Isabelline White-winged Serotine	Decher, Huttere &amp; Monadjem, 2015	2017	DD		False	False	True							Decher, J., Hutterer, R. & Monadjem, A.	Musila, S., Weber, N., Wechuli, D. & Shapiro, J.				
Neoromicia malagasyensis	136820	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Neoromicia	Isalo Serotine	(Peterson, Eger &amp; Mitchell, 1995)	2008	EN	B1ab(iii)	False	False	True			700	450			Andriafidison, D., Cardiff, S.G., Goodman, S.M., Hutson, A.M., Jenkins, R.K.B., Kofoky, A.F., Racey, P.A., Ranivo, J., Ratrimomanarivo, F.H. & Razafimanahaka, H.J.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Hoffmann, M. (Global Mammal Assessment Team)				
Neoromicia matroka	40033	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Neoromicia	Malagasy Serotine	(Thomas &amp; Schwann, 1905)	2017	LC		False	False	True		38880	1300	970			Monadjem, A., Ratrimomanarivo, F.H., Jenkins, R.K.B., Andriafidison, D., Hutson, A.M., Ranivo, J., Razafimanahaka, J., Kofoky, A., Cardiff, S.G., Goodman, S. & Racey, P.A.	Piraccini, R.				
Neoromicia melckorum	44922	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Neoromicia	Melck's Pipistrelle Bat	(Roberts, 1919)	2014	DD		False	False	True							Jacobs, D.	Hutson, A.M., Racey, P.A. & Cox, N.A.				
Neoromicia nana	44923	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Neoromicia	Banana Pipistrelle Bat	(Peters, 1852)	2017	LC		False	False	True		25715678		0			Monadjem, A., Jacobs, D., Racey, P.A., Hutson, A.M. & Goodman, S.	Piraccini, R.				
Neoromicia rendalli	44924	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Neoromicia	Rendall's Serotine	(Thomas, 1889)	2017	LC		False	False	True		16646202		0			Monadjem, A., Taylor, P.J., Jacobs, D. & Cotterill, F.	Piraccini, R.				
Neoromicia robertsi	67359364	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Neoromicia		Goodman, Taylor, Ratrimomanarivo &amp; Hoofer, 2012	2017	DD		False	False	True			1300	900			Goodman, S.	Monadjem, A.				
Neoromicia roseveari	67359375	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Neoromicia	Rosevear's Serotine	Monadjem, Richards, Taylor &amp; Stoffberg, 2013	2017	EN	B1ab(i,ii,iii)+2ab(i,ii,iii)	False	False	True	0-499	3070					Monadjem, A.	Weber, N., Wechuli, D., Musila, S. & Shapiro, J.				
Neoromicia somalica	44925	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Neoromicia	Somali Serotine	(Thomas, 1901)	2017	LC		False	False	True		19830965		0			Monadjem, A. & Jacobs, D.	Piraccini, R.				
Neoromicia tenuipinnis	44926	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Neoromicia	Slenderwinged Pipistrelle Bat	(Peters, 1872)	2017	LC		False	False	True		9165321	3200	0			Monadjem, A. & Fahr, J.	Piraccini, R.				
Neoromicia zuluensis	44927	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Neoromicia	Zulu Pipistrelle Bat	(Roberts, 1924)	2017	LC		False	False	True		7661843		0			Monadjem, A., Cotterill, F. & Jacobs, D.	Piraccini, R.				
Noctilio albiventris	14829	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NOCTILIONIDAE	Noctilio	Lesser Bulldog Bat	Desmarest, 1818	2015	LC		False	False	True			1100	0			Barquez, R., Perez, S., Miller, B. & Diaz, M.	Solari, S.				
Noctilio leporinus	14830	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NOCTILIONIDAE	Noctilio	Greater Bulldog Bat	(Linnaeus, 1758)	2015	LC		False	False	True							Barquez, R., Perez, S., Miller, B. & Diaz, M.	Solari, S.				
Notopteris macdonaldi	14876	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Notopteris	Fijian Blossom Bat	Gray, 1859	2008	VU	B1ab(iii,v)	False	False	True			1100	0			Palmeirim, J.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Notopteris neocaledonica	136519	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Notopteris	New Caledonia Blossom Bat	Trouessart, 1908	2008	VU	B1ab(i,ii,iii)	False	False	True							Brescia, F.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Nyctalus aviator	14921	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Nyctalus	Japanese Large Noctule	(Thomas, 1911)	2008	NT		False	False	True							Tsytsulina, K.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Temple, H. (Global Mammal Assessment Team)				
Nyctalus azoreum	14922	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Nyctalus	Azorean Bat	(Thomas, 1901)	2016	VU	C2a(i)	False	False	True	2200	31023	600	0			Piraccini, R.	Pacifici, M. & Cassola, F.				
Nyctalus furvus	136765	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Nyctalus	Japanese Noctule	Imaizumi &amp; Yoshiyuki, 1968	2008	VU	B1ab(iii)	False	False	True							Maeda, K. & Sano, A.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Chanson, J. (Global Mammal Assessment Team)				
Nyctalus lasiopterus	14918	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Nyctalus	Giant Noctule	(Schreber, 1780)	2016	VU	A4c; C2a(i)	False	False	True		8955906	1900	0			Alcaldé, J., Juste, J. & Paunović, M.	Piraccini, R.				
Nyctalus leisleri	14919	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Nyctalus	Lesser Noctule	(Kuhl, 1817)	2016	LC		False	False	True		20171114	2400	0			Juste, J. & Paunović, M.	Racey, P.A.				
Nyctalus montanus	14923	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Nyctalus	Mountain Noctule	(Barrett-Hamilton, 1906)	2008	LC		False	False	True	>2,000	>20,000	1692	680			Molur, S. & Srinivasulu, C.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Nyctalus noctula	14920	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Nyctalus	Noctule	(Schreber, 1774)	2016	LC		False	False	True		24101079	1900	0			Csorba, G. & Hutson, A.M.	Racey, P.A.				
Nyctalus plancyi	136828	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Nyctalus	Chinese Noctule	Gerbe, 1880	2008	LC		False	False	True	unknown	>20,000 sq. km					Smith, A.T. & Johnston, C.H.	Jones, G. & Rossiter, S. (Chiroptera Red List Authority)				
Nycteris arge	14926	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NYCTERIDAE	Nycteris	Bate's Slit-faced Bat	Thomas, 1903	2017	LC		False	False	True		6546925		0			Monadjem, A., Fahr, J., Hutson, A.M., Mickleburgh, S. & Bergmans, W.	Piraccini, R.				
Nycteris aurita	14927	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NYCTERIDAE	Nycteris	Andersen's Slit-faced Bat	(K. Andersen, 1912)	2017	LC		False	False	True		2129178		0			Monadjem, A., Bergmans, W., Mickleburgh, S. & Hutson, A.M.	Piraccini, R.				
Nycteris gambiensis	14928	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NYCTERIDAE	Nycteris	Gambian Slit-faced Bat	(K. Andersen, 1912)	2017	LC		False	False	True		2498689		0			Monadjem, A., Fahr, J. & Bergmans, W.	Piraccini, R.				
Nycteris grandis	14929	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NYCTERIDAE	Nycteris	Large Slit-faced Bat	Peters, 1865	2017	LC		False	False	True		10081074		0			Monadjem, A., Bergmans, W., Mickleburgh, S. & Hutson, A.M.	Piraccini, R.				
Nycteris hispida	14930	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NYCTERIDAE	Nycteris	Hairy Long-eared Bat	(Schreber, 1775)	2017	LC		False	False	True		19298629		0			Monadjem, A., Bergmans, W., Mickleburgh, S. & Hutson, A.M.	Piraccini, R.				
Nycteris intermedia	14931	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NYCTERIDAE	Nycteris	Intermediate Slit-faced Bat	Aellen, 1959	2017	LC		False	False	True		5097042		0			Monadjem, A., Fahr, J., Hutson, A.M., Mickleburgh, S. & Bergmans, W.	Piraccini, R.				
Nycteris javanica	14932	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NYCTERIDAE	Nycteris	Javan Slit-faced Bat	É. Geoffroy, 1813	2008	VU	A3c	False	False	True			2500	0			Hutson, A.M., Schlitter, D. & Kingston, T.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Nycteris macrotis	14933	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NYCTERIDAE	Nycteris	Large-eared Slit-faced Bat	Dobson, 1876	2017	LC		False	False	True		18201722	2200	0			Monadjem, A., Bergmans, W., Mickleburgh, S. & Hutson, A.M.	Piraccini, R.				
Nycteris madagascariensis	40022	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NYCTERIDAE	Nycteris	Madagascar Slit-faced Bat	G. Grandidier, 1937	2008	DD		False	False	True							Hutson, T., Racey, P.A. & Ravino, J.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Hoffmann, M. (Global Mammal Assessment Team)				
Nycteris major	14934	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NYCTERIDAE	Nycteris	Dja Slit-faced Bat	(K. Andersen, 1912)	2008	DD		False	False	True				0			Mickleburgh, S., Hutson, A.M., Bergmans, W. & Fahr, J.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Nycteris nana	14935	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NYCTERIDAE	Nycteris	Dwarf Slit-faced Bat	(K. Andersen, 1912)	2017	LC		False	False	True		5358237	2100	0			Monadjem, A., Fahr, J., Hutson, A.M., Mickleburgh, S. & Bergmans, W.	Piraccini, R.				
Nycteris parisii	44695	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NYCTERIDAE	Nycteris	Parisi's Slit-faced Bat	De Beaux, 1924	2008	DD		False	False	True							Mickleburgh, S., Hutson, A.M., Bergmans, W., Cotterill, F.P.D. & Jacobs, D.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Nycteris thebaica	14936	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NYCTERIDAE	Nycteris	Cape Long-eared Bat	É. Geoffroy, 1818	2017	LC		False	False	True		36491713	2000	0			Monadjem, A., Fahr, J., Hutson, A.M., Mickleburgh, S. & Bergmans, W.	Piraccini, R.				
Nycteris tragata	14937	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NYCTERIDAE	Nycteris	Malayan Slit-faced Bat	(K. Andersen, 1912)	2008	NT		False	False	True							Kingston, T. & Meijaard, E.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Nycteris vinsoni	44696	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NYCTERIDAE	Nycteris	Vinson's Slit-faced Bat	Dalquest, 1965	2008	DD		False	False	True							Mickleburgh, S., Hutson, A.M., Bergmans, W., Cotterill, F.P.D. & Jacobs, D.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Nycteris woodi	14939	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NYCTERIDAE	Nycteris	Wood's Slit-faced Bat	K. Andersen, 1914	2017	LC		False	False	True		730548		0			Monadjem, A., Cotterill, F., Hutson, A.M., Mickleburgh, S. & Bergmans, W.	Piraccini, R.				
Nycticeinops schlieffeni	41533	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Nycticeinops	Schlieffen's Bat	(Peters, 1859)	2017	LC		False	False	True		24969752		0			Monadjem, A., Cotterill, F., Taylor, P.J. & Jacobs, D.	Piraccini, R.				
Nycticeius aenobarbus	136562	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Nycticeius	Temminck’s Mysterious Bat	Temminck, 1840	2008	DD		False	False	True							Velazco, P. & Aguirre, L.	Medellín, R. (Chiroptera Red List Authority) & Schipper, J. (Global Mammal Assessment Team)				
Nycticeius cubanus	136386	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Nycticeius	Cuban Evening Bat	Gundlach, 1861	2008	NT		False	False	True							Mancina, C. & Rodriguez, A.	Medellín, R. (Chiroptera Red List Authority) & Schipper, J. (Global Mammal Assessment Team)				
Nycticeius humeralis	14944	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Nycticeius	Evening Bat	(Rafinesque, 1818)	2008	LC		False	False	True			300	0			Arroyo-Cabrales, J. & Álvarez-Castañeda, S.T.	Medellín, R. & Schipper, J.				
Nyctiellus lepidus	14358	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NATALIDAE	Nyctiellus	Gervais's Funnel-eared Bat	(Gervais, 1837)	2016	LC		False	False	True			422	0			Davalos, L. & Mancina, C.	Solari, S.				
Nyctimene aello	14954	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Nyctimene	Greater Tube-nosed Bat	(Thomas, 1900)	2008	LC		False	False	True			1000	0			Bonaccorso, F. & Helgen, K.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Nyctimene albiventer	14962	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Nyctimene	Common Tube-nosed Fruit Bat	(Gray, 1863)	2016	LC		False	False	True			1900	0			Aplin, K. & Armstrong, K.	Mildenstein, T.				
Nyctimene cephalotes	14963	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Nyctimene	Pallas's Tube-nosed Bat	(Pallas, 1767)	2016	LC		False	False	True							Tsang, S.M.	Mildenstein, T.				
Nyctimene certans	14964	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Nyctimene	Mountain Tube-nosed Bat	Andersen, 1912	2008	LC		False	False	True			2800	800			Hutson, T., Suyanto, A., Helgen, K. & Bonaccorso, F.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Nyctimene cyclotis	14955	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Nyctimene	Round-eared Tube-nosed Bat	Andersen, 1910	2008	DD		False	False	True							Hutson, T., Suyanto, A., Helgen, K. & Bonaccorso, F.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Nyctimene draconilla	14956	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Nyctimene	Lesser Tube-nosed Bat	Thomas, 1922	2008	DD		False	False	True			100	0			Hutson, T., Suyanto, A., Helgen, K. & Bonaccorso, F.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Nyctimene keasti	136441	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Nyctimene	Keast's Tube-nosed Fruit Bat	Kitchener in Kitchener, Packer &amp; Maryanto, 1993	2008	VU	B1ab(ii,iii)	False	False	True			1000	0			Helgen, K. &  Hutson, A.M.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Nyctimene major	14965	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Nyctimene	Island Tube-nosed Bat	(Dobson, 1877)	2008	LC		False	False	True			900	0			Lamoreux, J.	Racey, P.A., Medellín, R., Hutson, A.M. (Chiroptera Red List Authority) & Chanson, J. (Global Mammal Assessment Team)				
Nyctimene malaitensis	14958	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Nyctimene	Malaita Tube-nosed Bat	Phillips, 1968	2017	LC		False	False	True							Lavery, T.H.	Mildenstein, T.				
Nyctimene masalai	14959	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Nyctimene	Demonic Tube-nosed Bat	Smith &amp; Hood, 1983	2008	DD		False	False	True							Helgen, K. & Bonaccorso, F.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Nyctimene minutus	14960	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Nyctimene	Lesser Tube-nosed Fruit Bat	K. Andersen, 1910	2008	VU	B2ab(ii,iii)	False	False	True			900	700			Hutson, A.M., Helgen, K., Schlitter, D. & Suyanto, A.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Nyctimene rabori	14953	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Nyctimene	Philippine Tube-nosed Fruit Bat	Heaney &amp; Peterson, 1984	2008	EN	C2a(i)	False	False	True			1300	0			Ong, P., Rosell-Ambal, G. & Tabaranza, B. & Heaney, L., Ingle, N., Cariño, A.B., Pangulatan, L.M., Pedregosa, M., Alcala, E. & Helgen, K.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Stuart, S.N. (Global Mammal Assessment Team)				
Nyctimene robinsoni	14966	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Nyctimene	Eastern Tube-nosed Bat	Thomas, 1904	2008	LC		False	False	True							Hall, L., Thomson, B., Bonaccorso, F. & Leary, T.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Nyctimene sanctacrucis	14961	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Nyctimene	Nendö Tube-nosed Bat	Troughton, 1931	2008	DD		False	False	True							Leary, T., Hamilton, S. & Helgen, K.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Nyctimene vizcaccia	14967	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Nyctimene	Umboi Tube-nosed Bat	Thomas, 1914	2008	LC		False	False	True			1800	0			Hamilton, S.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Nyctinomops aurispinosus	14993	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	MOLOSSIDAE	Nyctinomops	Peale's Free-tailed Bat	(Peale, 1848)	2008	LC		False	False	True			3150	0			Sampaio, E., Lim, B., Peters, S. & de Grammont, P.C.	Medellín, R. (Chiroptera Red List Authority) & Schipper, J. (Global Mammal Assessment Team)				
Nyctinomops femorosaccus	14994	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	MOLOSSIDAE	Nyctinomops	Pocketed Free-tailed Bat	(Merriam, 1899)	2015	LC		False	False	True			2250	0			Arroyo-Cabrales, J. & Álvarez-Castañeda, S.T.	Solari, S.				
Nyctinomops laticaudatus	14995	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	MOLOSSIDAE	Nyctinomops	Broad-eared Free-tailed Bat	(É. Geoffroy, 1805)	2015	LC		False	False	True			1500				Barquez, R., Rodriguez, B., Miller, B. & Diaz, M.	Solari, S.				
Nyctinomops macrotis	14996	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	MOLOSSIDAE	Nyctinomops	Big Free-tailed Bat	(Gray, 1839)	2015	LC		False	False	True			2600	0			Barquez, R., Diaz, M. & Arroyo-Cabrales, J.	Solari, S.	True	Added missing Bibliography reference for Arita (2005) which was cited in the text.		
Nyctophilus arnhemensis	15000	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Nyctophilus	Northern Long-eared Bat	Johnson, 1959	2008	LC		False	False	True							McKenzie, N., Reardon, T. & Parnaby, H.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Nyctophilus bifax	15001	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Nyctophilus	Eastern Long-eared Bat	Thomas, 1915	2008	LC		False	False	True			400	0			Hutson, T., Schlitter, D., Csorba, G., Hall, L., McKenzie, N. & Parnaby, H.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Nyctophilus geoffroyi	15003	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Nyctophilus	Lesser Long-eared Bat	Leach, 1821	2008	LC		False	False	True							Lumsden, L., Hall, L., McKenzie, N. & Parnaby, H.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Nyctophilus gouldi	15004	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Nyctophilus	Gould's Long-eared Bat	Tomes, 1858	2008	LC		False	False	True							Pennay, M., Lumsden, L., Lunney, D. & Parnaby, H.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
